DLL,Version,Arch,Section,Key,Symbol,Nosymbol,Kind,Status
10.0.26100.4202_x64.dll,10.0.26100.4202,x64,,,,,,OK
10.0.26100.4484_x64.dll,10.0.26100.4484,x64,,,,,,OK
10.0.26100.4768_x64.dll,10.0.26100.4768,x64,,,,,,OK
10.0.26100.5074_x64.dll,10.0.26100.5074,x64,,,,,,OK
10.0.26100.6899_x64.dll,10.0.26100.6899,x64,,,,,,OK
10.0.26100.7019_x64.dll,10.0.26100.7019,x64,,,,,,OK
10.0.26100.7309_x64.dll,10.0.26100.7309,x64,,,,,,OK
10.0.26100.7705_x64.dll,10.0.26100.7705,x64,,,,,,OK
10.0.26100.7824_x64.dll,10.0.26100.7824,x64,,,,,,OK
10.0.26100.8115_x64.dll,10.0.26100.8115,x64,,,,,,OK
10.0.26100.8328_x64.dll,10.0.26100.8328,x64,,,,,,OK
10.0.26100.8376_x64.dll,10.0.26100.8376,x64,,,,,,OK
10.0.26100.8521_x64.dll,10.0.26100.8521,x64,,,,,,OK
10.0.26100.8690_x64.dll,10.0.26100.8690,x64,,,,,,OK
10.0.28000.2315_x64.dll,10.0.28000.2315,x64,,,,,,OK
10.0.28000.2336_x64.dll,10.0.28000.2336,x64,,,,,,OK
6.1.7601.17514_x64.dll,6.1.7601.17514,x64,,,,,,OK
6.1.7601.17514_x86.dll,6.1.7601.17514,x86,6.1.7601.17514,DefPolicyCode.x86,CDefPolicy_Query_eax_esi,CDefPolicy_Query_edx_ecx,mismatch,DIFF
6.1.7601.17514_x86.dll,6.1.7601.17514,x86,6.1.7601.17514,DefPolicyOffset.x86,19D53,53477,mismatch,DIFF
6.1.7601.17514_x86.dll,6.1.7601.17514,x86,6.1.7601.17514,SingleUserCode.x86,nop_4,pop_eax_add_esp_12_nop_2,mismatch,DIFF
6.1.7601.17514_x86.dll,6.1.7601.17514,x86,6.1.7601.17514,SingleUserOffset.x86,19E4A,F224,mismatch,DIFF
6.1.7601.18637_x64.dll,6.1.7601.18637,x64,,,,,,OK
6.1.7601.24326_x64.dll,6.1.7601.24326,x64,,,,,,OK
6.1.7601.24402_x64.dll,6.1.7601.24402,x64,,,,,,OK
6.2.8250.0_x86.dll,6.2.8250.0,x86,6.2.8250.0,DefPolicyCode.x86,CDefPolicy_Query_eax_esi,,mismatch,DIFF
6.2.8250.0_x86.dll,6.2.8250.0,x86,6.2.8250.0,DefPolicyOffset.x86,13520,,mismatch,DIFF
6.2.8250.0_x86.dll,6.2.8250.0,x86,6.2.8250.0,DefPolicyPatch.x86,1,0,mismatch,DIFF
6.2.9200.16384_x64.dll,6.2.9200.16384,x64,,,,,,OK
6.2.9200.16384_x86.dll,6.2.9200.16384,x86,6.2.9200.16384,DefPolicyCode.x86,CDefPolicy_Query_eax_esi,,mismatch,DIFF
6.2.9200.16384_x86.dll,6.2.9200.16384,x86,6.2.9200.16384,DefPolicyOffset.x86,13F08,,mismatch,DIFF
6.2.9200.16384_x86.dll,6.2.9200.16384,x86,6.2.9200.16384,DefPolicyPatch.x86,1,0,mismatch,DIFF
6.3.9600.16384_x64.dll,6.3.9600.16384,x64,,,,,,OK
6.3.9600.19628_x64.dll,6.3.9600.19628,x64,,,,,,OK
10.0.26100.8514_x64.dll,10.0.26100.8514,x64,,,,,,NOPDB
6.1.7601.25757_x86.dll,6.1.7601.25757,x86,,,,,,NOPDB
6.2.9200.23509_x64.dll,6.2.9200.23509,x64,,,,,,NOPDB
